K,alpha,beta,prior_scale,method,val_accuracy,val_auc
5,0.1,0.01,0.1,svi,0.6310331072995612,0.5353859588515277
5,0.1,0.01,0.1,mcmc,0.8659752692461109,0.9174288785067228
5,0.1,0.01,1.0,svi,0.5959313921021141,0.6081826731153078
5,0.1,0.01,1.0,mcmc,0.8659752692461109,0.9247768199864008
5,0.1,0.1,0.1,svi,0.48384523334662943,0.49496885350178765
5,0.1,0.1,0.1,mcmc,0.8659752692461109,0.9052417143734508
5,0.1,0.1,1.0,svi,0.26166733147187876,0.3882564541247176
5,0.1,0.1,1.0,mcmc,0.8659752692461109,0.9256487025948104
5,0.1,0.5,0.1,svi,0.38213003589948147,0.4877127612906056
5,0.1,0.5,0.1,mcmc,0.8659752692461109,0.9204304303480951
5,0.1,0.5,1.0,svi,0.5033905065815716,0.5265643164221009
5,0.1,0.5,1.0,mcmc,0.8659752692461109,0.9319109034677896
5,0.5,0.01,0.1,svi,0.3741523733546071,0.5070456614244041
5,0.5,0.01,0.1,mcmc,0.8659752692461109,0.9286797284551775
5,0.5,0.01,1.0,svi,0.6876745113681692,0.5025889155754425
5,0.5,0.01,1.0,mcmc,0.9046669325887515,0.9357343006295102
5,0.5,0.1,0.1,svi,0.44036697247706424,0.4819543605097498
5,0.5,0.1,0.1,mcmc,0.8659752692461109,0.7926276567743634
5,0.5,0.1,1.0,svi,0.7602712405265257,0.5336668695575881
5,0.5,0.1,1.0,mcmc,0.8659752692461109,0.8203085587067623
5,0.5,0.5,0.1,svi,0.6505783805345033,0.48907130793358344
5,0.5,0.5,0.1,mcmc,0.8659752692461109,0.945793851856726
5,0.5,0.5,1.0,svi,0.7850019944156362,0.5435296988440701
5,0.5,0.5,1.0,mcmc,0.8659752692461109,0.9515145533109606
5,1.0,0.01,0.1,svi,0.43877143996808937,0.5215338553661907
5,1.0,0.01,0.1,mcmc,0.8659752692461109,0.934659527099647
5,1.0,0.01,1.0,svi,0.19385719984044675,0.37952391919457784
5,1.0,0.01,1.0,mcmc,0.8659752692461109,0.9360262990502513
5,1.0,0.1,0.1,svi,0.5149581172716394,0.5053073797460025
5,1.0,0.1,0.1,mcmc,0.8659752692461109,0.857536301024325
5,1.0,0.1,1.0,svi,0.4806541683286797,0.43692697023535343
5,1.0,0.1,1.0,mcmc,0.8659752692461109,0.8648307780044305
5,1.0,0.5,0.1,svi,0.4902273633825289,0.4690138952863504
5,1.0,0.5,0.1,mcmc,0.8659752692461109,0.9377193415367069
5,1.0,0.5,1.0,svi,0.5568408456322298,0.5707417582417582
5,1.0,0.5,1.0,mcmc,0.8659752692461109,0.9377522427672128
10,0.1,0.01,0.1,svi,0.5955325089748703,0.4967091915070957
10,0.1,0.01,0.1,mcmc,0.8659752692461109,0.7993257989515474
10,0.1,0.01,1.0,svi,0.5855604307937774,0.5509468699962711
10,0.1,0.01,1.0,mcmc,0.8659752692461109,0.815832620473339
10,0.1,0.1,0.1,svi,0.613083366573594,0.4872617402557522
10,0.1,0.1,0.1,mcmc,0.8659752692461109,0.8326465201465201
10,0.1,0.1,1.0,svi,0.5105704028719585,0.41548976223377426
10,0.1,0.1,1.0,mcmc,0.8659752692461109,0.8935014586212191
10,0.1,0.5,0.1,svi,0.5364978061428002,0.4842684137220065
10,0.1,0.5,0.1,mcmc,0.8659752692461109,0.9428683841108991
10,0.1,0.5,1.0,svi,0.707618667730355,0.46604524467548425
10,0.1,0.5,1.0,mcmc,0.8659752692461109,0.9525701344563621
10,0.5,0.01,0.1,svi,0.5053849222177902,0.4903606249040381
10,0.5,0.01,0.1,mcmc,0.8659752692461109,0.9191424842622447
10,0.5,0.01,1.0,svi,0.8256880733944955,0.5527886534623061
10,0.5,0.01,1.0,mcmc,0.8659752692461109,0.9213427540523349
10,0.5,0.1,0.1,svi,0.47227762265656165,0.4903496578272027
10,0.5,0.1,0.1,mcmc,0.8659752692461109,0.9159455813647431
10,0.5,0.1,1.0,svi,0.29996011168727565,0.4400265403259415
10,0.5,0.1,1.0,mcmc,0.9014758675708018,0.92612028689873
10,0.5,0.5,0.1,svi,0.4938173115277224,0.46852791669408433
10,0.5,0.5,0.1,mcmc,0.8659752692461109,0.9364170011625101
10,0.5,0.5,1.0,svi,0.6661348224970084,0.4335518523392775
10,0.5,0.5,1.0,mcmc,0.8659752692461109,0.9397482507512449
10,1.0,0.01,0.1,svi,0.5672118069405664,0.48805548244171004
10,1.0,0.01,0.1,mcmc,0.8659752692461109,0.8898233752275668
10,1.0,0.01,1.0,svi,0.16673314718787396,0.4699536366826786
10,1.0,0.01,1.0,mcmc,0.8659752692461109,0.9036926147704591
10,1.0,0.1,0.1,svi,0.3992820103709613,0.4938529534337918
10,1.0,0.1,0.1,mcmc,0.8659752692461109,0.9289936610295892
10,1.0,0.1,1.0,svi,0.7897885919425608,0.5037959794696323
10,1.0,0.1,1.0,mcmc,0.8659752692461109,0.9340412581430546
10,1.0,0.5,0.1,svi,0.44355803749501393,0.5022228893860631
10,1.0,0.5,0.1,mcmc,0.8659752692461109,0.928979952183545
10,1.0,0.5,1.0,svi,0.21858795372955725,0.5312047608080542
10,1.0,0.5,1.0,mcmc,0.8659752692461109,0.9308169375534645
15,0.1,0.01,0.1,svi,0.6613482249700837,0.47113328288477985
15,0.1,0.01,0.1,mcmc,0.8659752692461109,0.9502821280515892
15,0.1,0.01,1.0,svi,0.5420821699242122,0.45928198547959026
15,0.1,0.01,1.0,mcmc,0.8659752692461109,0.9559260599679761
15,0.1,0.1,0.1,svi,0.4854407658556043,0.518862001272181
15,0.1,0.1,0.1,mcmc,0.8659752692461109,0.9137891798819944
15,0.1,0.1,1.0,svi,0.27522935779816515,0.4586753690421356
15,0.1,0.1,1.0,mcmc,0.8659752692461109,0.9181952030005922
15,0.1,0.5,0.1,svi,0.4938173115277224,0.48238756004474564
15,0.1,0.5,0.1,mcmc,0.8659752692461109,0.9001557324910618
15,0.1,0.5,1.0,svi,0.326286398085361,0.5738365302362308
15,0.1,0.5,1.0,mcmc,0.8659752692461109,0.907277478011011
15,0.5,0.01,0.1,svi,0.5145592341443956,0.5298845989340002
15,0.5,0.01,0.1,mcmc,0.8659752692461109,0.9262491500515453
15,0.5,0.01,1.0,svi,0.576386118867172,0.5688321159878047
15,0.5,0.01,1.0,mcmc,0.8659752692461109,0.926609692702507
15,0.5,0.1,0.1,svi,0.5871559633027523,0.462810642451361
15,0.5,0.1,0.1,mcmc,0.8659752692461109,0.8911599877168741
15,0.5,0.1,1.0,svi,0.21260470682090146,0.4794600359720121
15,0.5,0.1,1.0,mcmc,0.8659752692461109,0.9154123072536245
15,0.5,0.5,0.1,svi,0.55364978061428,0.5028027735737317
15,0.5,0.5,0.1,mcmc,0.8659752692461109,0.9563386962339059
15,0.5,0.5,1.0,svi,0.7969684882329477,0.5516042091640895
15,0.5,0.5,1.0,mcmc,0.8659752692461109,0.9579906121822288
15,1.0,0.01,0.1,svi,0.5468687674511368,0.4935561569169354
15,1.0,0.01,0.1,mcmc,0.8659752692461109,0.9513610142352656
15,1.0,0.01,1.0,svi,0.5153570003988831,0.48401685639709596
15,1.0,0.01,1.0,mcmc,0.8659752692461109,0.9556066438551467
15,1.0,0.1,0.1,svi,0.5017949740725968,0.48407580443508585
15,1.0,0.1,0.1,mcmc,0.8659752692461109,0.9377892566515322
15,1.0,0.1,1.0,svi,0.29597128041483844,0.4585636419468755
15,1.0,0.1,1.0,mcmc,0.8659752692461109,0.9418128029654975
15,1.0,0.5,0.1,svi,0.6110889509373754,0.5005661753416244
15,1.0,0.5,0.1,mcmc,0.8659752692461109,0.9234511745739291
15,1.0,0.5,1.0,svi,0.594734742720383,0.48116130376609423
15,1.0,0.5,1.0,mcmc,0.8659752692461109,0.9219911824702243
20,0.1,0.01,0.1,svi,0.3921021140805744,0.5052916145730518
20,0.1,0.01,0.1,mcmc,0.8659752692461109,0.8472875677216994
20,0.1,0.01,1.0,svi,0.7965696051057041,0.46123481059858307
20,0.1,0.01,1.0,mcmc,0.8659752692461109,0.9121002500493518
20,0.1,0.1,0.1,svi,0.4706820901475868,0.5019452852536685
20,0.1,0.1,0.1,mcmc,0.8659752692461109,0.7859617303853831
20,0.1,0.1,1.0,svi,0.6437973673713602,0.4890048200302691
20,0.1,0.1,1.0,mcmc,0.8659752692461109,0.8949751595709681
20,0.1,0.5,0.1,svi,0.48623853211009177,0.5049392972297164
20,0.1,0.5,0.1,mcmc,0.8659752692461109,0.7370094974885395
20,0.1,0.5,1.0,svi,0.2644595133625848,0.4975214406352131
20,0.1,0.5,1.0,mcmc,0.8659752692461109,0.8479469632164243
20,0.5,0.01,0.1,svi,0.42201834862385323,0.5025683523063762
20,0.5,0.01,0.1,mcmc,0.8659752692461109,0.8569852054133492
20,0.5,0.01,1.0,svi,0.2130035899481452,0.46974183501129607
20,0.5,0.01,1.0,mcmc,0.8659752692461109,0.867720602750543
20,0.5,0.1,0.1,svi,0.5420821699242122,0.5240693064420608
20,0.5,0.1,0.1,mcmc,0.8659752692461109,0.9055446798710272
20,0.5,0.1,1.0,svi,0.35500598324690863,0.4200589206202979
20,0.5,0.1,1.0,mcmc,0.8659752692461109,0.9406763396284354
20,0.5,0.5,0.1,svi,0.6082967690466693,0.5268172446316159
20,0.5,0.5,0.1,mcmc,0.8659752692461109,0.9296804742164023
20,0.5,0.5,1.0,svi,0.5767850019944156,0.48015438902414953
20,0.5,0.5,1.0,mcmc,0.8659752692461109,0.9445573139435414
20,1.0,0.01,0.1,svi,0.6386118867171918,0.5456449737886865
20,1.0,0.01,0.1,mcmc,0.8659752692461109,0.9353764997477573
20,1.0,0.01,1.0,svi,0.47028320702034304,0.5049879636331732
20,1.0,0.01,1.0,mcmc,0.8659752692461109,0.9444723190980675
20,1.0,0.1,0.1,svi,0.514160351017152,0.5309244149064508
20,1.0,0.1,0.1,mcmc,0.8659752692461109,0.935445043977978
20,1.0,0.1,1.0,svi,0.31352213801356205,0.4497152672676625
20,1.0,0.1,1.0,mcmc,0.8659752692461109,0.9404940119760479
20,1.0,0.5,0.1,svi,0.6573593936976466,0.5051038033822467
20,1.0,0.5,0.1,mcmc,0.8659752692461109,0.9258310302471978
20,1.0,0.5,1.0,svi,0.365775827682489,0.474003229804128
20,1.0,0.5,1.0,mcmc,0.8659752692461109,0.9291211532978
