K,alpha,beta,prior_scale,method,val_accuracy,val_auc,is_best,test_accuracy,test_auc
5,0.1,0.01,0.1,svi,0.5712861415752741,0.49996135547807563,False,,
5,0.1,0.01,0.1,mcmc,0.8664007976071785,0.7384452879446266,False,,
5,0.1,0.01,1.0,svi,0.6420737786640079,0.4171504388300156,False,,
5,0.1,0.01,1.0,mcmc,0.8664007976071785,0.7473120588083745,False,,
5,0.1,0.1,0.1,svi,0.4506480558325025,0.5169821204678564,False,,
5,0.1,0.1,0.1,mcmc,0.8664007976071785,0.6205451453892791,False,,
5,0.1,0.1,1.0,svi,0.3698903290129611,0.503044329560483,False,,
5,0.1,0.1,1.0,mcmc,0.8664007976071785,0.6053277914226337,False,,
5,0.1,0.5,0.1,svi,0.3988035892323031,0.4920907545128214,False,,
5,0.1,0.5,0.1,mcmc,0.8664007976071785,0.9291001837761711,False,,
5,0.1,0.5,1.0,svi,0.5174476570289133,0.39181251395496625,False,,
5,0.1,0.5,1.0,mcmc,0.8664007976071785,0.9346907579478899,False,,
5,0.5,0.01,0.1,svi,0.4167497507477567,0.5205674733352799,False,,
5,0.5,0.01,0.1,mcmc,0.8664007976071785,0.7381189564261547,False,,
5,0.5,0.01,1.0,svi,0.6939182452642074,0.4754435532349759,False,,
5,0.5,0.01,1.0,mcmc,0.8664007976071785,0.7306562698589903,False,,
5,0.5,0.1,0.1,svi,0.45164506480558325,0.5142770039331535,False,,
5,0.5,0.1,0.1,mcmc,0.8664007976071785,0.9580663998763376,False,,
5,0.5,0.1,1.0,svi,0.8444666001994018,0.6063067859780499,False,,
5,0.5,0.1,1.0,mcmc,0.905284147557328,0.9574566751970871,True,0.9139784946236559,0.937087646652864
5,0.5,0.5,0.1,svi,0.6041874376869392,0.5366092437696444,False,,
5,0.5,0.5,0.1,mcmc,0.8664007976071785,0.8825721793792829,False,,
5,0.5,0.5,1.0,svi,0.7387836490528414,0.5936614396372568,False,,
5,0.5,0.5,1.0,mcmc,0.8664007976071785,0.9070642186077668,False,,
5,1.0,0.01,0.1,svi,0.49750747756729813,0.5299452106555829,False,,
5,1.0,0.01,0.1,mcmc,0.8664007976071785,0.9392078731772667,False,,
5,1.0,0.01,1.0,svi,0.15952143569292124,0.45581642993318794,False,,
5,1.0,0.01,1.0,mcmc,0.8664007976071785,0.9341067962832558,False,,
5,1.0,0.1,0.1,svi,0.5443668993020937,0.4273998248115007,False,,
5,1.0,0.1,0.1,mcmc,0.8664007976071785,0.7895333459285849,False,,
5,1.0,0.1,1.0,svi,0.46360917248255235,0.45337753121618607,False,,
5,1.0,0.1,1.0,mcmc,0.8664007976071785,0.8153135358878792,False,,
5,1.0,0.5,0.1,svi,0.5304087736789631,0.49067808254469886,False,,
5,1.0,0.5,0.1,mcmc,0.8664007976071785,0.968543359153599,False,,
5,1.0,0.5,1.0,svi,0.46859421734795614,0.5180641670817375,False,,
5,1.0,0.5,1.0,mcmc,0.8664007976071785,0.9627123301787953,False,,
10,0.1,0.01,0.1,svi,0.6141575274177468,0.4671564502000927,False,,
10,0.1,0.01,0.1,mcmc,0.8664007976071785,0.880897583429229,False,,
10,0.1,0.01,1.0,svi,0.4885343968095713,0.4023409992614603,False,,
10,0.1,0.01,1.0,mcmc,0.8664007976071785,0.9044449787884512,False,,
10,0.1,0.1,0.1,svi,0.5902293120638086,0.49459406076636375,False,,
10,0.1,0.1,0.1,mcmc,0.8664007976071785,0.9473232227813752,False,,
10,0.1,0.1,1.0,svi,0.6430707876370887,0.5152559984885698,False,,
10,0.1,0.1,1.0,mcmc,0.8664007976071785,0.9582982670078833,False,,
10,0.1,0.5,0.1,svi,0.5782652043868395,0.5064708105044398,False,,
10,0.1,0.5,0.1,mcmc,0.8664007976071785,0.7933548597633238,False,,
10,0.1,0.5,1.0,svi,0.5254237288135594,0.43329526132284496,False,,
10,0.1,0.5,1.0,mcmc,0.8664007976071785,0.8408790340587053,False,,
10,0.5,0.01,0.1,svi,0.5832502492522432,0.5547764629098466,False,,
10,0.5,0.01,0.1,mcmc,0.8664007976071785,0.9589165793586728,False,,
10,0.5,0.01,1.0,svi,0.8265204386839482,0.56278876045549,False,,
10,0.5,0.01,1.0,mcmc,0.8883349950149552,0.9549404874362366,False,,
10,0.5,0.1,0.1,svi,0.46360917248255235,0.437155419679508,False,,
10,0.5,0.1,0.1,mcmc,0.8664007976071785,0.9549318997646978,False,,
10,0.5,0.1,1.0,svi,0.42572283150548357,0.5771902856259554,False,,
10,0.5,0.1,1.0,mcmc,0.8654037886340977,0.9577486560294042,False,,
10,0.5,0.5,0.1,svi,0.48554336989032904,0.5043238926197551,False,,
10,0.5,0.5,0.1,mcmc,0.8664007976071785,0.9187005135427581,False,,
10,0.5,0.5,1.0,svi,0.543369890329013,0.5227058035484259,False,,
10,0.5,0.5,1.0,mcmc,0.8664007976071785,0.9339436305240196,False,,
10,1.0,0.01,0.1,svi,0.5483549351944168,0.5016359514281298,False,,
10,1.0,0.01,0.1,mcmc,0.8664007976071785,0.9253301959706646,False,,
10,1.0,0.01,1.0,svi,0.16051844466600199,0.5038429830135858,False,,
10,1.0,0.01,1.0,mcmc,0.8664007976071785,0.9290057193892448,False,,
10,1.0,0.1,0.1,svi,0.3609172482552343,0.47837624306545523,False,,
10,1.0,0.1,0.1,mcmc,0.8664007976071785,0.829998454219123,False,,
10,1.0,0.1,1.0,svi,0.806580259222333,0.5249643611631143,False,,
10,1.0,0.1,1.0,mcmc,0.8664007976071785,0.8388008175463305,False,,
10,1.0,0.5,0.1,svi,0.4546360917248255,0.46667124675815397,False,,
10,1.0,0.5,0.1,mcmc,0.8664007976071785,0.9689555673874586,False,,
10,1.0,0.5,1.0,svi,0.17347956131605186,0.4251326795252735,False,,
10,1.0,0.5,1.0,mcmc,0.8664007976071785,0.9686549988836026,False,,
15,0.1,0.01,0.1,svi,0.634097706879362,0.493550658674407,False,,
15,0.1,0.01,0.1,mcmc,0.8664007976071785,0.9676330659704928,False,,
15,0.1,0.01,1.0,svi,0.5812562313060817,0.5105671298284182,False,,
15,0.1,0.01,1.0,mcmc,0.8664007976071785,0.9683716057228243,False,,
15,0.1,0.1,0.1,svi,0.4666001994017946,0.5023744911804614,False,,
15,0.1,0.1,0.1,mcmc,0.8664007976071785,0.9511619119591913,False,,
15,0.1,0.1,1.0,svi,0.2741774675972084,0.48739329818113114,False,,
15,0.1,0.1,1.0,mcmc,0.8664007976071785,0.9550006011370078,False,,
15,0.1,0.5,0.1,svi,0.5314057826520439,0.5138433265204472,False,,
15,0.1,0.5,0.1,mcmc,0.8664007976071785,0.9535492846469609,False,,
15,0.1,0.5,1.0,svi,0.38783649052841473,0.5629476323789568,False,,
15,0.1,0.5,1.0,mcmc,0.8664007976071785,0.9557219655462618,False,,
15,0.5,0.01,0.1,svi,0.4795613160518445,0.4979475465022413,False,,
15,0.5,0.01,0.1,mcmc,0.8664007976071785,0.9571732820363087,False,,
15,0.5,0.01,1.0,svi,0.6490528414755733,0.5305978736925271,False,,
15,0.5,0.01,1.0,mcmc,0.8664007976071785,0.9564347422839771,False,,
15,0.5,0.1,0.1,svi,0.6141575274177468,0.49504061968637814,False,,
15,0.5,0.1,0.1,mcmc,0.8664007976071785,0.9445322295312848,False,,
15,0.5,0.1,1.0,svi,0.31306081754735793,0.4434888274393281,False,,
15,0.5,0.1,1.0,mcmc,0.8664007976071785,0.9575940779417068,False,,
15,0.5,0.5,0.1,svi,0.543369890329013,0.5111124469711283,False,,
15,0.5,0.5,0.1,mcmc,0.8664007976071785,0.9302251687477456,False,,
15,0.5,0.5,1.0,svi,0.7647058823529411,0.4608874499768133,False,,
15,0.5,0.5,1.0,mcmc,0.8664007976071785,0.9384178073957027,False,,
15,1.0,0.01,0.1,svi,0.5752741774675972,0.4961570169864143,False,,
15,1.0,0.01,0.1,mcmc,0.8664007976071785,0.943372893873555,False,,
15,1.0,0.01,1.0,svi,0.43469591226321036,0.4891881215327276,False,,
15,1.0,0.01,1.0,mcmc,0.8664007976071785,0.9530340243546365,False,,
15,1.0,0.1,0.1,svi,0.4017946161515454,0.4606813458598836,False,,
15,1.0,0.1,0.1,mcmc,0.8664007976071785,0.967100630335091,False,,
15,1.0,0.1,1.0,svi,0.29411764705882354,0.4957920409460178,False,,
15,1.0,0.1,1.0,mcmc,0.8664007976071785,0.9688954536866873,False,,
15,1.0,0.5,0.1,svi,0.6291126620139581,0.5438658262198787,False,,
15,1.0,0.5,0.1,mcmc,0.8664007976071785,0.9247634096491077,False,,
15,1.0,0.5,1.0,svi,0.5214356929212363,0.45328306682925995,False,,
15,1.0,0.5,1.0,mcmc,0.8664007976071785,0.9385637978118613,False,,
